task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
8	9d/3ac95d	10493	fastqToSsake (8)	COMPLETED	0	2015-05-12 07:15:48.629	19.7s	16.5s	129.0%	1.4 GB	26 GB	1.4 GB	26.1 GB	219.2 MB	15.7 MB	29117	32392	19731	16483	1531047936	27910385664	1531047936	27976441856	229809722	16463594
6	af/7c79dc	10494	fastqToSsake (6)	COMPLETED	0	2015-05-12 07:15:48.630	30.1s	18.9s	123.0%	1.5 GB	26 GB	1.5 GB	26.1 GB	230.6 MB	15.5 MB	30584	32046	30084	18900	1560268800	27910385664	1560268800	27976441856	241828140	16290070
7	cb/aaf350	10489	fastqToSsake (7)	COMPLETED	0	2015-05-12 07:15:48.631	30.1s	16.7s	102.0%	1.4 GB	26 GB	1.4 GB	26.1 GB	221.8 MB	16.4 MB	29455	33780	30092	16724	1539104768	27910385664	1539104768	27976441856	232578474	17168128
2	1c/03cb10	10496	fastqToSsake (2)	COMPLETED	0	2015-05-12 07:15:48.636	30.1s	20.2s	112.0%	1.5 GB	26 GB	1.5 GB	26.1 GB	232.1 MB	14.4 MB	30772	29678	30121	20205	1566662656	27910385664	1566662656	27976441856	243368138	15090104
5	b3/b0ea70	10490	fastqToSsake (5)	COMPLETED	0	2015-05-12 07:15:48.629	30.1s	21.9s	116.0%	1.5 GB	26 GB	1.5 GB	26.1 GB	249.6 MB	13.9 MB	33017	28705	30141	21879	1611030528	27910385664	1611030528	27976441856	261758110	14577094
3	4c/94f867	10487	fastqToSsake (3)	COMPLETED	0	2015-05-12 07:15:48.632	30.2s	19.3s	98.6%	1.3 GB	26 GB	1.3 GB	26 GB	197.5 MB	16.3 MB	26345	33515	30155	19347	1367400448	27910385664	1369874432	27911028736	207104366	17040444
13	01/6fa788	10488	interleave (5)	COMPLETED	0	2015-05-12 07:15:48.630	38.7s	25.9s	100.0%	1.1 GB	26.1 GB	1.1 GB	26.2 GB	182.9 MB	43.4 MB	24561	89685	38706	25866	1158922240	28046708736	1158922240	28113842176	191774225	45465308
10	a9/0ca82e	10492	interleave (2)	COMPLETED	0	2015-05-12 07:15:48.631	38.7s	25.9s	96.9%	1.1 GB	26.1 GB	1.1 GB	26.1 GB	181.1 MB	42.3 MB	24325	87405	38723	25911	1162522624	28046708736	1162522624	28047073280	189869262	44313410
9	bf/389123	10491	interleave (1)	COMPLETED	0	2015-05-12 07:15:48.628	38.8s	25.6s	105.0%	1.1 GB	26.1 GB	1.1 GB	26.2 GB	172.7 MB	39.7 MB	23251	82187	38761	25555	1139077120	28046708736	1139077120	28113842176	181065947	41669282
11	ea/c658be	10495	interleave (3)	COMPLETED	0	2015-05-12 07:15:48.635	48.8s	30.7s	102.0%	1.1 GB	26.1 GB	1.1 GB	26.1 GB	217.2 MB	53.3 MB	28951	110164	48817	30699	1229139968	28046708736	1229144064	28047073280	227758968	55859592
19	b7/9e0982	14478	reformat (3)	COMPLETED	0	2015-05-12 07:16:27.390	30.3s	10.2s	94.8%	3.4 MB	27.8 MB	3.4 MB	27.8 MB	136.3 MB	133.9 MB	20263	16992	30326	10209	3543040	29097984	3543040	29147136	142904791	140361728
18	10/a43221	14447	reformat (2)	COMPLETED	0	2015-05-12 07:16:27.355	30.6s	11.5s	103.1%	3.4 MB	27.8 MB	3.4 MB	27.8 MB	243.7 MB	239.7 MB	36133	30387	30576	11452	3534848	29097984	3534848	29147136	255589847	251314176
17	b0/658caa	14422	reformat (1)	COMPLETED	0	2015-05-12 07:16:27.337	30.8s	10.3s	92.5%	3.4 MB	27.8 MB	3.4 MB	27.8 MB	131.2 MB	128.9 MB	19507	16355	30836	10291	3543040	29097984	3543040	29147136	137559511	135118848
20	7f/e40f85	14599	reformat (4)	COMPLETED	0	2015-05-12 07:16:37.452	29.7s	13.4s	103.1%	3.4 MB	27.8 MB	3.4 MB	27.8 MB	222.9 MB	218.4 MB	32829	27639	29650	13371	3543040	29097984	3543040	29147136	233741783	229048320
1	08/0c68d1	14224	fastqToSsake (1)	COMPLETED	0	2015-05-12 07:16:18.770	48.3s	17s	132.0%	1.3 GB	26 GB	1.3 GB	26.1 GB	192 MB	16.1 MB	25645	33260	48344	16982	1367638016	27910385664	1370845184	27976441856	201367696	16901352
4	28/bc2bc5	14201	fastqToSsake (4)	COMPLETED	0	2015-05-12 07:16:18.758	48.4s	18.4s	106.0%	1.3 GB	26 GB	1.3 GB	26 GB	198.5 MB	15.1 MB	26466	31248	48397	18425	1369063424	27910385664	1370660864	27911045120	208097822	15876914
15	a2/b6707d	14164	interleave (7)	COMPLETED	0	2015-05-12 07:16:18.724	1m	28.6s	106.0%	1.1 GB	26.1 GB	1.1 GB	26.2 GB	219.3 MB	55 MB	29215	113744	60480	28615	1197027328	28046708736	1197027328	28113842176	229902442	57693912
14	5d/c37bcd	14262	interleave (6)	COMPLETED	0	2015-05-12 07:16:18.788	1m	29.7s	102.0%	1.1 GB	26.1 GB	1.1 GB	26.2 GB	214.3 MB	50.2 MB	28580	103898	60429	29729	1219751936	28046708736	1219751936	28113842176	224724645	52681052
16	23/14f9fc	14148	interleave (8)	COMPLETED	0	2015-05-12 07:16:18.715	1m 1s	30s	91.5%	1.1 GB	26.1 GB	1.1 GB	26.2 GB	209.8 MB	49.3 MB	28001	102033	60514	30041	1192857600	28046708736	1192857600	28113842176	219976256	51727548
12	49/3520d0	13696	interleave (4)	COMPLETED	0	2015-05-12 07:16:08.369	1m 16s	34.6s	110.0%	1.2 GB	26.1 GB	1.2 GB	26.1 GB	239.7 MB	59.9 MB	31836	123802	76067	34572	1296633856	28046708736	1296633856	28047073280	251386307	62780202
24	c8/b041ac	18135	alignReads (2)	COMPLETED	0	2015-05-12 07:17:07.103	32.6s	63ms	0.0%	2.6 MB	23.2 MB	2.7 MB	23.3 MB	22 KB	226 B	46	3	32554	63	2715648	24322048	2789376	24481792	22568	226
23	30/06195e	17728	alignReads (1)	COMPLETED	0	2015-05-12 07:16:58.174	41.7s	73ms	0.0%	2.6 MB	23.2 MB	2.7 MB	23.3 MB	22 KB	226 B	46	3	41728	73	2711552	24322048	2785280	24481792	22568	226
25	c4/647591	18153	alignReads (3)	COMPLETED	0	2015-05-12 07:17:07.115	33s	37ms	0.0%	2.6 MB	23.2 MB	2.7 MB	23.3 MB	22 KB	226 B	46	3	33016	37	2715648	24322048	2789376	24481792	22568	226
26	83/ef0a80	18188	alignReads (4)	COMPLETED	0	2015-05-12 07:17:07.156	39.9s	130ms	0.0%	2.6 MB	23.2 MB	2.7 MB	23.3 MB	22 KB	226 B	46	3	39929	130	2711552	24322048	2785280	24481792	22568	226
21	29/67d41a	17652	reformat (5)	COMPLETED	0	2015-05-12 07:16:57.717	49.4s	13.5s	117.7%	3.4 MB	27.8 MB	3.4 MB	27.8 MB	227.4 MB	223.7 MB	33563	28267	49380	13452	3538944	29097984	3538944	29147136	238460375	234536960
