task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
15	15/628f5b	10376	formatChr (6)	COMPLETED	0	2015-05-10 12:42:54.725	31.2s	28.8s	90.8%	344.1 MB	544.4 MB	346.6 MB	546.8 MB	2.1 GB	1 GB	376771	305477	31244	28809	360820736	570818560	363388928	573390848	2226796745	1081223260
5	1f/c23d6b	10378	formatBlast (5)	COMPLETED	0	2015-05-10 12:42:54.724	36.8s	32s	100.0%	388.6 MB	596.1 MB	526.8 MB	735.8 MB	1009.3 MB	249.4 MB	32338	2583	36793	31974	407494656	625070080	552435712	771530752	1058339005	261471541
11	9e/712604	10381	formatChr (2)	COMPLETED	0	2015-05-10 12:42:54.725	36.8s	33.8s	88.6%	353.3 MB	553.6 MB	353.3 MB	553.6 MB	2.9 GB	1.7 GB	480641	489692	36799	33814	370466816	580460544	370470912	580476928	3110685252	1830742906
6	c3/92d00b	10380	formatBlast (6)	COMPLETED	0	2015-05-10 12:42:54.725	41.8s	36.8s	98.5%	393.5 MB	590.9 MB	560.8 MB	758.3 MB	1 GB	254.5 MB	32916	1307	41799	36761	412659712	619651072	588083200	795107328	1077278915	266849091
9	aa/426d94	10373	formatBlast (9)	COMPLETED	0	2015-05-10 12:42:54.723	41.9s	41.3s	99.3%	347.9 MB	574 MB	553.6 MB	797.7 MB	1.1 GB	226.4 MB	34883	72	41901	41332	364822528	601931776	580489216	836435968	1141733585	237379536
18	a3/42a395	20967	formatChr (9)	COMPLETED	0	2015-05-10 12:43:36.525	10.7s	7.6s	66.1%	310.3 MB	510.6 MB	310.6 MB	510.8 MB	921.5 MB	921.5 MB	118228	235922	10687	7605	325337088	535379968	325636096	535646208	966263295	966248594
14	09/a20989	10374	formatChr (5)	COMPLETED	0	2015-05-10 12:42:54.726	1m 12s	1m 12s	89.1%	338.5 MB	538.8 MB	338.5 MB	538.8 MB	2.2 GB	1019.4 MB	742559	374907	71957	71527	354906112	564940800	354910208	564953088	2347571040	1068963057
8	5e/55d53b	10377	formatBlast (8)	COMPLETED	0	2015-05-10 12:42:54.727	1m 17s	1m 13s	95.2%	62.6 MB	204.6 MB	74.5 MB	216.6 MB	2.1 GB	515.3 MB	67244	4882	77150	73136	65609728	214548480	78135296	227074048	2202138831	540331486
7	c8/42edf9	6473	formatBlast (7)	COMPLETED	0	2015-05-10 12:43:31.524	41.6s	37.3s	91.0%	91 MB	252.9 MB	118 MB	280 MB	1 GB	264.8 MB	34205	1863	41569	37337	95391744	265232384	123740160	293580800	1119516851	277677527
4	53/75d061	6465	formatBlast (4)	COMPLETED	0	2015-05-10 12:43:31.518	42.7s	41.8s	87.5%	36 MB	175.5 MB	36.7 MB	178.2 MB	1 GB	270.8 MB	34246	5191	42659	41757	37732352	184053760	38473728	186892288	1120860369	283948889
19	41/07bc51	3460	blast (1)	COMPLETED	0	2015-05-10 12:44:13.094	5.6s	5.4s	44.0%	150.1 MB	548.2 MB	265.3 MB	548.2 MB	188.6 KB	1.5 KB	50	4	5572	5405	157437952	574840832	278200320	574840832	193161	1563
20	f2/1d1950	6746	blast (2)	COMPLETED	0	2015-05-10 12:44:14.177	5.6s	4.4s	44.0%	157.2 MB	487.5 MB	268.9 MB	551.5 MB	188.6 KB	510 B	50	3	5603	4407	164794368	511135744	281915392	578248704	193161	510
21	9b/27110e	17775	blast (3)	COMPLETED	0	2015-05-10 12:44:18.667	5.8s	2.7s	44.0%	309.6 MB	527.2 MB	309.6 MB	591.2 MB	30.2 KB	389 B	29	2	5810	2675	324612096	552763392	324612096	619872256	30931	389
22	d0/c39bb3	21833	blast (4)	COMPLETED	0	2015-05-10 12:44:19.782	6.7s	5.2s	46.0%	210.6 MB	705.4 MB	213.2 MB	705.4 MB	30.2 KB	389 B	29	2	6670	5196	220844032	739680256	223604736	739680256	30931	389
3	83/2e9f8e	21981	formatBlast (3)	COMPLETED	0	2015-05-10 12:43:25.980	1m 2s	57.6s	99.3%	526.2 MB	667.5 MB	816.3 MB	957.6 MB	1.7 GB	420.5 MB	55033	6574	61858	57629	551714816	699932672	855945216	1004163072	1802008781	440940292
2	fa/31b677	18305	formatBlast (1)	COMPLETED	0	2015-05-10 12:43:47.214	41.9s	37.8s	89.1%	110.5 MB	269.2 MB	116.5 MB	269.2 MB	1 GB	252.5 MB	33906	3052	41907	37814	115900416	282312704	122191872	282312704	1109719247	264798158
23	b1/da21cf	8884	blast (5)	COMPLETED	0	2015-05-10 12:44:24.479	5.5s	2.4s	42.0%	282.4 MB	499.6 MB	282.4 MB	563.6 MB	30.2 KB	389 B	29	2	5548	2444	296079360	523862016	296079360	590970880	30931	389
24	c5/c04d6d	14998	blast (6)	COMPLETED	0	2015-05-10 12:44:26.453	5.5s	2.8s	39.0%	277.5 MB	444.7 MB	281.9 MB	444.7 MB	30.2 KB	389 B	29	2	5541	2826	291000320	466313216	295632896	466313216	30931	389
1	84/4785a1	10379	formatBlast (2)	COMPLETED	0	2015-05-10 12:42:54.726	1m 38s	1m 36s	98.4%	97.9 MB	241 MB	105.9 MB	249 MB	2.4 GB	608.1 MB	77632	7503	97524	95807	102658048	252657664	111071232	261074944	2542532841	637615319
26	e6/8c10c9	22950	exonerate (2)	COMPLETED	0	2015-05-10 12:44:27.838	15.9s	14.2s	62.4%	384.9 MB	631.1 MB	385 MB	631.1 MB	315.8 MB	432.7 KB	81277	149	15925	14212	403570688	661733376	403664896	661774336	331164744	443076
30	6d/3d3fc0	26633	exonerate (6)	COMPLETED	0	2015-05-10 12:44:43.764	45.1s	44.7s	97.2%	606.1 MB	861 MB	606.1 MB	861 MB	955.4 MB	6.1 MB	247869	1818	45109	44668	635551744	902823936	635555840	902823936	1001781438	6423223
