task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
16	f6/2821cd	8206	formatChr (7)	COMPLETED	0	2015-05-10 12:29:27.440	10.5s	7.1s	86.6%	340 MB	353.1 MB	340.3 MB	353.4 MB	1010.1 MB	1010.1 MB	129601	258610	10475	7089	356536320	370212864	356872192	370606080	1059188687	1059170915
5	6a/e19211	8210	formatBlast (5)	COMPLETED	0	2015-05-10 12:29:27.443	38.3s	33.1s	96.7%	529.5 MB	643.2 MB	529.5 MB	643.2 MB	973.5 MB	219.6 MB	31197	66	38348	33051	555233280	674435072	555237376	674447360	1020791942	230270033
4	93/6c8428	8205	formatBlast (4)	COMPLETED	0	2015-05-10 12:29:27.440	1m 9s	42.9s	92.6%	80.2 MB	142.9 MB	109.5 MB	162.2 MB	1.1 GB	269.5 MB	34739	3092	69030	42861	84107264	149872640	114839552	170123264	1136777070	282543726
15	35/33ccda	8212	formatChr (6)	COMPLETED	0	2015-05-10 12:29:27.441	1m 9s	36.3s	82.8%	322.4 MB	335.4 MB	322.6 MB	335.7 MB	2.1 GB	1 GB	380809	306201	69038	36282	338038784	351703040	338268160	351985664	2228566617	1081244241
9	1d/e16135	8214	formatBlast (9)	COMPLETED	0	2015-05-10 12:29:27.442	1m 9s	48.3s	97.6%	342.9 MB	501.5 MB	540.1 MB	691.9 MB	1.2 GB	295 MB	38310	136	69041	48312	359542784	525869056	566386688	725467136	1253780389	309306802
7	17/b22bf4	11560	formatBlast (7)	COMPLETED	0	2015-05-10 12:29:37.925	58.6s	47.2s	95.4%	89.8 MB	160.3 MB	116.8 MB	187.4 MB	1.1 GB	270.1 MB	34762	2586	58561	47158	94134272	168136704	122486784	196501504	1137540422	283174809
1	23/2e0561	8211	formatBlast (1)	COMPLETED	0	2015-05-10 12:29:27.439	1m 9s	50s	87.6%	35.5 MB	82 MB	35.5 MB	82 MB	1.1 GB	275.7 MB	34510	5316	69131	50023	37236736	85970944	37240832	85983232	1129266948	289124033
14	1e/5dcf7e	8208	formatChr (5)	COMPLETED	0	2015-05-10 12:29:27.442	2m 20s	1m 49s	73.3%	288.7 MB	301.7 MB	288.9 MB	302 MB	2.2 GB	1019.6 MB	767345	379354	139622	108989	302710784	316366848	302985216	316645376	2356554676	1069103857
2	a9/da2e82	8209	formatBlast (2)	COMPLETED	0	2015-05-10 12:29:27.441	2m 20s	2m 3s	95.6%	96.8 MB	148.7 MB	100.6 MB	152.5 MB	2.5 GB	631.6 MB	80577	7963	139724	122770	101470208	155918336	105484288	159948800	2638778043	662285556
19	16/d00bf4	3952	blast (1)	COMPLETED	0	2015-05-10 12:31:47.165	17.3s	11.2s	63.5%	151 MB	431.2 MB	456.8 MB	580.9 MB	193.1 KB	616.9 KB	57	166	17332	11248	158343168	452165632	479039488	609083392	197719	631707
