task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
17	f5/688269	28202	formatChr (8)	COMPLETED	0	2015-05-10 09:49:52.318	11s	8.3s	61.1%	286.8 MB	487 MB	286.8 MB	487 MB	850.8 MB	850.8 MB	109160	217821	11033	8301	300695552	510681088	300695552	510693376	892141468	892122566
15	0d/3357f8	28206	formatChr (6)	COMPLETED	0	2015-05-10 09:49:52.317	31.4s	28.7s	61.5%	282.1 MB	482.5 MB	282.5 MB	482.8 MB	2.1 GB	1 GB	377139	305541	31355	28690	295849984	505888768	296239104	506286080	2226982044	1081225070
7	b4/29b25a	28197	formatBlast (7)	COMPLETED	0	2015-05-10 09:49:52.316	36.6s	35.9s	93.4%	90.9 MB	252.9 MB	117.9 MB	280 MB	997.7 MB	245.8 MB	31967	539	36630	35888	95268864	265232384	123617280	293580800	1046182067	257750890
5	61/b5251e	28204	formatBlast (5)	COMPLETED	0	2015-05-10 09:49:52.319	36.7s	31.8s	98.0%	390.2 MB	596.1 MB	528.4 MB	735.8 MB	1013.6 MB	250.9 MB	32476	2773	36742	31771	409104384	625070080	554049536	771530752	1062860989	263044709
1	a8/85cab3	28198	formatBlast (1)	COMPLETED	0	2015-05-10 09:49:52.320	41.8s	38.5s	93.6%	29.9 MB	168.5 MB	29.9 MB	168.5 MB	1014.8 MB	258.5 MB	32515	5167	41778	38523	31391744	176685056	31391744	176685056	1064138961	271105561
9	19/81e8ad	28201	formatBlast (9)	COMPLETED	0	2015-05-10 09:49:52.317	41.9s	40.7s	94.6%	348.6 MB	594.1 MB	554.9 MB	797.7 MB	1.1 GB	226.4 MB	34969	73	41888	40672	365510656	622964736	581873664	836435968	1144551633	237383810
4	eb/1e5e64	28200	formatBlast (3)	COMPLETED	0	2015-05-10 09:49:52.318	56.6s	55.2s	98.3%	525.5 MB	667.5 MB	815.6 MB	957.6 MB	1.6 GB	403.3 MB	52529	6553	56569	55183	550993920	699932672	855224320	1004163072	1719957709	422912108
14	6a/dd5b59	28199	formatChr (5)	COMPLETED	0	2015-05-10 09:49:52.320	1m 17s	1m 12s	61.2%	287.7 MB	488 MB	287.9 MB	488.2 MB	2.2 GB	1019.6 MB	778182	381299	76932	72339	301645824	511660032	301850624	511918080	2361674735	1069164849
8	0f/ad7878	28203	formatBlast (8)	COMPLETED	0	2015-05-10 09:49:52.319	1m 17s	1m 13s	92.9%	63.5 MB	204.6 MB	75.4 MB	216.6 MB	2.1 GB	515.3 MB	67298	4882	77094	73025	66555904	214548480	79081472	227074048	2203908303	540331486
10	1f/6f97b6	16503	formatChr (1)	COMPLETED	0	2015-05-10 09:50:28.946	41.6s	39.2s	95.6%	367.9 MB	568.2 MB	368.4 MB	568.7 MB	2.9 GB	1.7 GB	483742	490197	41605	39234	385818624	595845120	386297856	596361216	3121992190	1830757754
19	ed/a2db5f	4172	blast (1)	COMPLETED	0	2015-05-10 09:51:09.414	5.6s	2.4s	43.0%	161.9 MB	445.7 MB	283.9 MB	563.6 MB	188.6 KB	389 B	50	2	5611	2411	169775104	467304448	297684992	590970880	193161	389
20	3f/1ccb6d	9926	blast (2)	COMPLETED	0	2015-05-10 09:51:10.552	6s	5.2s	22.5%	152.8 MB	484.2 MB	266.7 MB	546.3 MB	188.6 KB	1.5 KB	50	4	6031	5219	160190464	507727872	279662592	572825600	193161	1563
21	d5/8ef17e	26235	blast (3)	COMPLETED	0	2015-05-10 09:51:15.026	5.9s	2.8s	40.0%	280.6 MB	498.6 MB	280.6 MB	562.6 MB	30.2 KB	389 B	29	2	5885	2824	294256640	522870784	294256640	589979648	30931	389
22	aa/f2128b	1487	blast (4)	COMPLETED	0	2015-05-10 09:51:16.584	6.6s	2.7s	43.0%	311.4 MB	527.2 MB	311.4 MB	591.2 MB	30.2 KB	389 B	29	2	6572	2668	326516736	552763392	326541312	619872256	30931	389
23	14/a6327d	20904	blast (5)	COMPLETED	0	2015-05-10 09:51:20.912	5.8s	3.6s	51.0%	282.1 MB	607.8 MB	285 MB	607.8 MB	30.2 KB	389 B	29	2	5808	3647	295768064	637362176	298815488	637362176	30931	389
24	d5/d9d7aa	28425	blast (6)	COMPLETED	0	2015-05-10 09:51:23.157	5.6s	5.3s	44.0%	198.6 MB	705.4 MB	200.7 MB	705.4 MB	30.2 KB	389 B	29	2	5563	5263	208285696	739680256	210472960	739680256	30931	389
6	14/07cf56	19926	formatBlast (6)	COMPLETED	0	2015-05-10 09:50:48.888	41.6s	38.1s	93.6%	406.4 MB	606.6 MB	560.9 MB	758.3 MB	1008.7 MB	229.7 MB	32318	70	41581	38108	426123264	636030976	588115968	795107328	1057683651	240882476
2	1f/f77782	7316	formatBlast (4)	COMPLETED	0	2015-05-10 09:50:03.359	1m 38s	1m 33s	97.2%	98.1 MB	241 MB	106.1 MB	249 MB	2.5 GB	631 MB	80506	7952	98299	93216	102813696	252657664	111230976	261074944	2636708073	661625601
3	c3/1d669d	3270	formatBlast (2)	COMPLETED	0	2015-05-10 09:51:09.253	41.6s	39.6s	87.7%	96.8 MB	247.2 MB	96.8 MB	247.2 MB	1 GB	247.9 MB	32840	3051	41578	39553	101449728	259162112	101449728	259162112	1074788559	259965747
29	2d/7c1c21	11214	exonerate (5)	COMPLETED	0	2015-05-10 09:51:50.832	11.1s	7.7s	84.6%	695.3 MB	919.8 MB	695.3 MB	919.8 MB	353.8 MB	420.6 KB	90825	124	11072	7736	729071616	964509696	729071616	964509696	370936320	430700
27	79/6f7e8b	12695	exonerate (3)	COMPLETED	0	2015-05-10 09:51:26.720	37.4s	33.4s	122.8%	670.3 MB	922.8 MB	670.3 MB	922.8 MB	713.6 MB	1.7 MB	184755	616	37355	33375	702861312	967667712	702898176	967667712	748295235	1787045
30	3f/1fef6b	22276	blast (7)	COMPLETED	0	2015-05-10 09:52:01.904	6.3s	5.2s	27.0%	159.2 MB	553.3 MB	268.9 MB	553.3 MB	188.6 KB	510 B	50	3	6252	5209	166961152	580182016	281911296	580182016	193161	510
32	e6/124b10	11648	blast (9)	COMPLETED	0	2015-05-10 09:52:08.156	5.6s	2.4s	41.0%	146.9 MB	498.7 MB	283.2 MB	563 MB	30.2 KB	389 B	29	2	5588	2430	154030080	522940416	296923136	590311424	30931	389
33	4a/1a0c7f	-	normExonerate (1)	COMPLETED	-	2015-05-10 09:52:13.748	5ms	1ms	-	-	-	-	-	-	-	-	-	5	1	-	-	-	-	-	-
34	83/b70a95	-	normExonerate (2)	COMPLETED	-	2015-05-10 09:52:13.754	19ms	1ms	-	-	-	-	-	-	-	-	-	19	1	-	-	-	-	-	-
31	ac/ac908b	28904	blast (8)	COMPLETED	0	2015-05-10 09:52:04.076	10.9s	7.2s	94.8%	507.5 MB	882.1 MB	650.5 MB	918.7 MB	188.6 KB	389 B	50	2	10896	7161	532160512	924958720	682070016	963375104	193161	389
13	57/074af9	16746	formatChr (4)	COMPLETED	0	2015-05-10 09:50:29.062	1m 53s	1m 50s	85.6%	298 MB	498.3 MB	298.6 MB	498.9 MB	1.4 GB	1.1 GB	971329	444647	112524	110481	312455168	522469376	313077760	523104256	1488102538	1141598094
18	a7/ed5eea	27164	formatChr (9)	COMPLETED	0	2015-05-10 09:50:34.206	1m 53s	1m 49s	81.1%	556.2 MB	756.4 MB	556.6 MB	756.8 MB	3.8 GB	2.1 GB	1090304	701088	112522	108796	583200768	793169920	583589888	793571328	4027441208	2244768693
28	1b/ad724a	11540	exonerate (4)	COMPLETED	0	2015-05-10 09:51:41.659	47.4s	46.6s	132.8%	606 MB	860.1 MB	606.1 MB	860.1 MB	955.7 MB	6.3 MB	248003	1862	47423	46568	635457536	901861376	635523072	901861376	1002092165	6584816
39	33/344501	-	normExonerate (3)	COMPLETED	-	2015-05-10 09:52:29.095	3ms	0ms	-	-	-	-	-	-	-	-	-	3	0	-	-	-	-	-	-
38	8c/ac09da	16991	exonerate (9)	COMPLETED	0	2015-05-10 09:52:26.794	6.1s	3.5s	22.0%	41.5 MB	354.8 MB	41.5 MB	354.8 MB	9.3 MB	165 KB	2507	49	6099	3524	43511808	371998720	43540480	371998720	9773027	168976
40	96/ed2eca	-	normExonerate (4)	COMPLETED	-	2015-05-10 09:52:32.906	1ms	0ms	-	-	-	-	-	-	-	-	-	1	0	-	-	-	-	-	-
16	b2/e5798f	26892	formatChr (7)	COMPLETED	0	2015-05-10 09:50:34.099	2m 8s	2m 6s	80.2%	352.4 MB	552.6 MB	352.5 MB	552.7 MB	2.4 GB	1.1 GB	1128153	465810	127783	125925	369496064	579440640	369610752	579584000	2627121566	1144428584
37	75/e8b5a8	3206	exonerate (8)	COMPLETED	0	2015-05-10 09:52:21.632	32.1s	28.6s	93.5%	115.2 MB	361.4 MB	119.3 MB	365.6 MB	359.3 MB	5.1 MB	94913	1528	32056	28605	120786944	378933248	125079552	383340544	376790990	5394696
42	4b/40b036	-	normExonerate (5)	COMPLETED	-	2015-05-10 09:52:53.703	3ms	1ms	-	-	-	-	-	-	-	-	-	3	1	-	-	-	-	-	-
41	1a/04b6e6	24447	exonerate (10)	COMPLETED	0	2015-05-10 09:52:41.941	42.6s	37.8s	52.8%	149.8 MB	461.5 MB	149.8 MB	461.5 MB	549.7 MB	6.7 MB	144342	1970	42554	37751	157032448	483958784	157036544	483958784	576404537	6989055
