task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
8	61/2203ad	5417	fastqToSsake (8)	COMPLETED	0	2015-05-11 16:28:06.747	19.3s	16.5s	119.0%	1.4 GB	26 GB	1.4 GB	26.1 GB	219.2 MB	15.7 MB	29117	32332	19329	16537	1531695104	27910385664	1531695104	27976441856	229809722	16433040
4	3b/099d0e	5415	fastqToSsake (4)	COMPLETED	0	2015-05-11 16:28:06.749	30.5s	17.3s	100.0%	1.4 GB	26 GB	1.4 GB	26 GB	221.8 MB	15.6 MB	29456	32279	30530	17253	1539457024	27910385664	1539457024	27911028736	232578479	16405256
2	51/2bcc45	5420	fastqToSsake (2)	COMPLETED	0	2015-05-11 16:28:06.747	30.5s	17.9s	95.1%	1.5 GB	26 GB	1.5 GB	26.1 GB	230.6 MB	15.5 MB	30584	31926	30549	17908	1560121344	27910385664	1560121344	27976441856	241828140	16228988
1	88/4b2b74	5421	fastqToSsake (1)	COMPLETED	0	2015-05-11 16:28:06.749	30.6s	19.4s	106.0%	1.5 GB	26 GB	1.5 GB	26.1 GB	232.1 MB	15.9 MB	30773	32866	30570	19445	1563398144	27910385664	1563398144	27976441856	243368143	16712006
10	1c/176590	5418	interleave (2)	COMPLETED	0	2015-05-11 16:28:06.749	30.8s	26.6s	100.0%	1.1 GB	26.1 GB	1.1 GB	26.2 GB	198.6 MB	52 MB	26574	107633	30760	26585	1157738496	28046708736	1157742592	28113842176	208199039	54569050
9	21/666ac0	5419	interleave (1)	COMPLETED	0	2015-05-11 16:28:06.748	30.8s	24.7s	107.0%	1.1 GB	26.1 GB	1.1 GB	26.2 GB	179.2 MB	43.2 MB	24091	89258	30770	24684	1152483328	28046708736	1152483328	28113842176	187948707	45256550
14	c2/dd2d61	5422	interleave (6)	COMPLETED	0	2015-05-11 16:28:06.752	31s	27.2s	108.0%	1.1 GB	26.1 GB	1.1 GB	26.2 GB	220 MB	54.9 MB	29312	113445	30986	27210	1198006272	28046708736	1198006272	28113842176	230720088	57516492
15	11/fd88e6	5416	interleave (7)	COMPLETED	0	2015-05-11 16:28:06.748	40.1s	24.7s	109.0%	1.1 GB	26.1 GB	1.1 GB	26.1 GB	182.4 MB	43.1 MB	24497	89212	40118	24655	1150844928	28046708736	1150844928	28047073280	191274498	45224574
16	8f/ee8390	5413	interleave (8)	COMPLETED	0	2015-05-11 16:28:06.746	45.3s	27.3s	109.0%	1.1 GB	26.1 GB	1.1 GB	26.2 GB	206 MB	47.9 MB	27515	98950	45283	27310	1199226880	28046708736	1199226880	28113842176	215987485	50192296
12	ee/2c59d4	5414	interleave (4)	COMPLETED	0	2015-05-11 16:28:06.750	54.6s	32.4s	112.0%	1.2 GB	26.1 GB	1.2 GB	26.2 GB	232.7 MB	56.1 MB	30928	116048	54587	32384	1297457152	28046708736	1297457152	28113842176	243956174	58848644
6	cf/a76676	8768	fastqToSsake (6)	COMPLETED	0	2015-05-11 16:28:26.085	44.9s	18.4s	103.0%	1.3 GB	26 GB	1.3 GB	26.1 GB	192 MB	13.4 MB	25646	27611	44883	18378	1369890816	27910385664	1371439104	27976441856	201367701	14030428
21	50/95622b	10690	alignReads (1)	COMPLETED	0	2015-05-11 16:29:10.969	11.6s	43ms	0.0%	2.6 MB	23.2 MB	2.7 MB	23.3 MB	22 KB	226 B	46	3	11630	43	2715648	24322048	2789376	24481792	22568	226
5	66/ffca1a	9389	fastqToSsake (5)	COMPLETED	0	2015-05-11 16:28:37.320	53.2s	16.7s	138.0%	1.3 GB	26 GB	1.3 GB	26.1 GB	198.5 MB	15.8 MB	26466	32634	53174	16668	1369321472	27910385664	1371561984	27976441856	208097822	16581474
18	ee/1f6a5c	9646	reformat (2)	COMPLETED	0	2015-05-11 16:28:46.867	49.9s	10.4s	100.9%	3.4 MB	27.8 MB	3.4 MB	27.8 MB	121.4 MB	119 MB	18030	15105	49860	10384	3538944	29097984	3538944	29147136	127327703	124747776
17	49/076ebb	9493	reformat (1)	COMPLETED	0	2015-05-11 16:28:37.739	59s	10.1s	106.3%	3.4 MB	27.8 MB	3.4 MB	27.8 MB	127.4 MB	125.2 MB	18942	15884	58997	10105	3547136	29097984	3547136	29147136	133610967	131334144
13	fd/abf6f5	9368	interleave (5)	COMPLETED	0	2015-05-11 16:28:37.296	59.5s	31.4s	97.1%	1.1 GB	26.1 GB	1.1 GB	26.2 GB	213.9 MB	49.9 MB	28531	103113	59453	31367	1210376192	28046708736	1210376192	28113842176	224309626	52282786
19	ed/e8999e	9898	reformat (3)	COMPLETED	0	2015-05-11 16:28:52.030	44.8s	11.4s	108.6%	3.4 MB	27.8 MB	3.4 MB	27.8 MB	231.3 MB	227.5 MB	34287	28831	44753	11448	3547136	29097984	3547136	29147136	242486743	238501888
20	4a/90f8f2	10072	reformat (4)	COMPLETED	0	2015-05-11 16:29:01.338	35.5s	12.6s	103.5%	3.4 MB	27.8 MB	3.4 MB	27.8 MB	220.3 MB	216.6 MB	32472	27355	35468	12595	3538944	29097984	3538944	29147136	230976983	227098624
7	3b/98254f	9339	fastqToSsake (7)	COMPLETED	0	2015-05-11 16:28:37.280	59.5s	21.9s	73.6%	1.3 GB	26 GB	1.3 GB	26 GB	197.5 MB	15.1 MB	26346	31235	59538	21921	1369722880	27910385664	1370746880	27911540736	207104371	15881520
22	c9/5d3a41	12608	alignReads (2)	COMPLETED	0	2015-05-11 16:29:22.600	21.5s	21.4s	-	-	-	-	-	-	-	-	-	21502	21403	-	-	-	-	-	-
3	90/7f5a09	9455	fastqToSsake (3)	COMPLETED	0	2015-05-11 16:28:37.519	1m 19s	22.4s	101.0%	1.5 GB	26 GB	1.5 GB	26.1 GB	249.6 MB	19.4 MB	33018	40121	78518	22388	1614319616	27910385664	1614319616	27976441856	261758115	20377362
11	68/4859c2	9435	interleave (3)	COMPLETED	0	2015-05-11 16:28:37.509	1m 19s	32.7s	110.0%	1.2 GB	26.1 GB	1.2 GB	26.1 GB	225.5 MB	58 MB	30017	119953	78548	32749	1268117504	28046708736	1268117504	28047073280	236491640	60823856
26	fb/c20952	13688	alignReads (6)	COMPLETED	0	2015-05-11 16:29:36.750	26.4s	26.4s	-	-	-	-	-	-	-	-	-	26362	26358	-	-	-	-	-	-
23	5c/3252b7	13222	alignReads (3)	COMPLETED	0	2015-05-11 16:29:30.495	38.7s	38.7s	-	-	-	-	-	-	-	-	-	38655	38652	-	-	-	-	-	-
24	44/b49da2	13643	alignReads (4)	COMPLETED	0	2015-05-11 16:29:36.728	42.2s	58ms	0.0%	2.6 MB	23.2 MB	2.7 MB	23.3 MB	22 KB	226 B	46	3	42225	58	2715648	24322048	2789376	24481792	22568	226
27	b9/1ed057	13717	reformat (5)	COMPLETED	0	2015-05-11 16:29:36.784	42.2s	9.7s	108.0%	3.4 MB	27.8 MB	3.4 MB	27.8 MB	117.7 MB	115.7 MB	17406	14626	42176	9699	3538944	29097984	3538944	29147136	123375063	121339904
28	3b/97e39b	13757	reformat (6)	COMPLETED	0	2015-05-11 16:29:36.807	48.4s	10.6s	109.6%	3.4 MB	27.8 MB	3.4 MB	27.8 MB	214.2 MB	210.5 MB	31606	26615	48352	10572	3547136	29097984	3547136	29147136	224566743	220758016
25	d9/6414b1	13667	alignReads (5)	COMPLETED	0	2015-05-11 16:29:36.738	48.5s	59ms	0.0%	1.2 MB	11 MB	1.2 MB	11.1 MB	17.6 KB	130 B	35	2	48471	59	1290240	11571200	1290240	11595776	18045	130
31	4d/920322	14176	alignReads (7)	COMPLETED	0	2015-05-11 16:29:56.038	39.4s	39.4s	-	-	-	-	-	-	-	-	-	39420	39416	-	-	-	-	-	-
36	ef/622403	15759	alignReads (8)	COMPLETED	0	2015-05-11 16:30:18.961	24.5s	49ms	0.0%	1.2 MB	11 MB	1.2 MB	11.1 MB	17.6 KB	130 B	35	2	24492	49	1290240	11571200	1290240	11595776	18045	130
