task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
18	08/ee0ea3	27538	formatChr (9)	COMPLETED	0	2015-05-10 12:19:46.566	10.8s	7s	78.4%	358.5 MB	558.8 MB	358.8 MB	559.2 MB	1 GB	1 GB	136742	272869	10814	7048	375955456	585940992	376270848	586338304	1117596731	1117583506
5	47/f1baca	27545	formatBlast (5)	COMPLETED	0	2015-05-10 12:19:46.569	37.1s	33.3s	100.0%	389.5 MB	596.1 MB	527.7 MB	735.8 MB	996.2 MB	245.3 MB	31919	1727	37074	33266	408408064	625070080	553349120	771530752	1044609213	257168719
9	9c/df6a02	27546	formatBlast (9)	COMPLETED	0	2015-05-10 12:19:46.564	42.1s	40.5s	100.0%	348 MB	574 MB	553.8 MB	797.7 MB	1.1 GB	226.4 MB	35533	73	42133	40538	364941312	601931776	580722688	836435968	1163032785	237383810
10	c3/1efe96	27537	formatChr (1)	COMPLETED	0	2015-05-10 12:19:46.564	42.2s	38.3s	80.1%	362.9 MB	563.2 MB	363.6 MB	564 MB	3 GB	1.7 GB	501809	492822	42161	38333	380575744	590589952	381313024	591376384	3246590034	1830835004
1	04/25922d	27541	formatBlast (3)	COMPLETED	0	2015-05-10 12:19:46.565	42.2s	40s	99.4%	23.6 MB	162.4 MB	27 MB	165.8 MB	982 MB	249.8 MB	31464	5147	42204	40012	24748032	170328064	28303360	173883392	1029699793	261951913
4	d3/2e70cd	27539	formatBlast (1)	COMPLETED	0	2015-05-10 12:19:46.565	1m 2s	57.4s	100.0%	526.5 MB	667.5 MB	816.6 MB	957.6 MB	1.7 GB	422 MB	55430	6576	62222	57381	552046592	699932672	856276992	1004163072	1815017677	442505173
7	27/624e79	26111	formatBlast (7)	COMPLETED	0	2015-05-10 12:20:23.644	41.6s	40.1s	93.3%	90.7 MB	252.9 MB	117.7 MB	280 MB	1 GB	254.8 MB	33061	878	41564	40137	95096832	265232384	123445248	293580800	1082030259	267138548
14	b3/6aaf2d	27540	formatChr (5)	COMPLETED	0	2015-05-10 12:19:46.564	1m 23s	1m 19s	92.5%	341.2 MB	541.4 MB	341.3 MB	541.6 MB	2.2 GB	1019.6 MB	764142	378779	82638	79382	357748736	567689216	357912576	567959552	2356159081	1069085289
6	7b/b78207	16484	formatBlast (6)	COMPLETED	0	2015-05-10 12:20:28.725	41.7s	37.9s	96.5%	344.5 MB	543.5 MB	559.3 MB	758.3 MB	1008.7 MB	229.7 MB	32318	70	41687	37854	361275392	569868288	586477568	795107328	1057683651	240882476
19	f4/04b506	26376	blast (1)	COMPLETED	0	2015-05-10 12:21:10.413	6.3s	5.2s	46.0%	151.8 MB	548.2 MB	265.3 MB	548.2 MB	188.6 KB	1.5 KB	50	4	6331	5217	159141888	574840832	278200320	574840832	193161	1563
