task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
7	34/25aeb4	7517	fastqToSsake (7)	COMPLETED	0	2015-05-12 21:53:04.630	20.3s	16.8s	114.0%	1.4 GB	26 GB	1.4 GB	26.1 GB	221.8 MB	15.3 MB	29456	31611	20302	16836	1538170880	27910385664	1538170880	27976441856	232578479	16066294
1	b0/777abb	7516	fastqToSsake (1)	COMPLETED	0	2015-05-12 21:53:04.634	30.6s	20.5s	102.0%	1.4 GB	26 GB	1.4 GB	26.1 GB	198.5 MB	16.6 MB	26467	34312	30643	20494	1480192000	27910385664	1480192000	27976441856	208097827	17433270
5	8b/86168f	7525	fastqToSsake (5)	COMPLETED	0	2015-05-12 21:53:04.632	30.7s	20.8s	91.7%	1.5 GB	26 GB	1.5 GB	26.1 GB	230.6 MB	14.7 MB	30585	30420	30660	20760	1559941120	27910385664	1559941120	27976441856	241828145	15463686
2	44/fe476a	7522	fastqToSsake (2)	COMPLETED	0	2015-05-12 21:53:04.629	30.7s	21.5s	96.1%	1.5 GB	26 GB	1.5 GB	26 GB	249.6 MB	21.8 MB	33018	44989	30685	21497	1609916416	27910385664	1609916416	27911540736	261758115	22848260
3	12/1b9938	7520	fastqToSsake (3)	COMPLETED	0	2015-05-12 21:53:04.633	30.7s	20.1s	95.5%	1.3 GB	26 GB	1.3 GB	26 GB	232.1 MB	9.1 MB	30772	18831	30693	20124	1371025408	27910385664	1373044736	27911028736	243368138	9571052
9	64/9139cd	7518	interleave (1)	COMPLETED	0	2015-05-12 21:53:04.632	30.7s	25.5s	122.0%	1.1 GB	26.1 GB	1.1 GB	26.1 GB	175.1 MB	40.8 MB	23556	84389	30708	25525	1140514816	28046708736	1140514816	28047265792	183565987	42786270
10	aa/284e01	7521	interleave (2)	COMPLETED	0	2015-05-12 21:53:04.634	30.7s	25.6s	121.0%	1.1 GB	26.1 GB	1.1 GB	26.2 GB	180.3 MB	42 MB	24223	86940	30718	25573	1149489152	28046708736	1149489152	28113842176	189029438	44077042
14	83/ebc47d	7524	interleave (6)	COMPLETED	0	2015-05-12 21:53:04.631	34.7s	27.3s	107.0%	1.1 GB	26.1 GB	1.1 GB	26.2 GB	216.6 MB	53.1 MB	28873	109834	34687	27294	1204670464	28046708736	1204670464	28113842176	227123800	55684384
13	2c/b2372b	7519	interleave (5)	COMPLETED	0	2015-05-12 21:53:04.631	40.1s	28.7s	113.0%	1.1 GB	26.1 GB	1.1 GB	26.2 GB	220.5 MB	53.3 MB	29369	110325	40109	28721	1215569920	28046708736	1215569920	28113842176	231174522	55937080
11	60/e00acc	7523	interleave (3)	COMPLETED	0	2015-05-12 21:53:04.630	42.8s	30.4s	105.0%	1.2 GB	26.1 GB	1.2 GB	26.2 GB	224.4 MB	57.4 MB	29867	118601	42782	30408	1256599552	28046708736	1256599552	28113842176	235262840	60138876
