task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
17	57/5f3c7b	25406	formatChr (8)	COMPLETED	0	2015-05-10 12:53:37.085	20.1s	8.8s	71.4%	329.3 MB	342.4 MB	329.6 MB	342.6 MB	978.1 MB	978.1 MB	125497	250420	20143	8752	345292800	358985728	345600000	359264256	1025642591	1025624675
5	7b/fe9433	25401	formatBlast (5)	COMPLETED	0	2015-05-10 12:53:37.085	1m 15s	44.2s	90.3%	367.1 MB	481.4 MB	527.4 MB	643.2 MB	1016.3 MB	251.8 MB	32568	2900	74997	44208	384913408	504741888	553070592	674447360	1065640163	264071458
14	b0/4db241	25402	formatChr (5)	COMPLETED	0	2015-05-10 12:53:37.083	1m 21s	50.7s	45.3%	178.9 MB	191.9 MB	178.9 MB	191.9 MB	2.1 GB	1 GB	405042	310528	81489	50650	187568128	201191424	187568128	201216000	2249737496	1081368726
9	96/e8561c	25407	formatBlast (9)	COMPLETED	0	2015-05-10 12:53:37.086	1m 24s	53.4s	94.0%	437.1 MB	610.8 MB	540.9 MB	691.9 MB	1.2 GB	295 MB	38311	138	83854	53394	458321920	640499712	567222272	725467136	1253780563	309308009
11	84/758927	25399	formatChr (2)	COMPLETED	0	2015-05-10 12:53:37.087	1m 29s	55.1s	86.8%	428.2 MB	441.2 MB	428.5 MB	441.5 MB	3.5 GB	1.7 GB	529163	495009	88521	55126	448978944	462602240	449290240	462995456	3752860286	1830901117
1	d0/9ed557	25408	formatBlast (1)	COMPLETED	0	2015-05-10 12:53:37.084	1m 29s	1m 3s	74.7%	28.5 MB	74 MB	35.7 MB	82 MB	1.1 GB	275.7 MB	34510	5316	89406	62561	29876224	77582336	37453824	85983232	1129266948	289124033
3	8c/508dea	25400	formatBlast (3)	COMPLETED	0	2015-05-10 12:53:37.086	1m 36s	1m 12s	97.1%	526.8 MB	574.9 MB	816.9 MB	865.1 MB	1.6 GB	412.2 MB	53723	6567	95773	72475	552382464	602836992	856612864	907079680	1758923926	432269145
8	62/2f4c0d	25404	formatBlast (8)	COMPLETED	0	2015-05-10 12:53:37.088	1m 43s	1m 28s	86.5%	54.5 MB	104.4 MB	60.3 MB	112.3 MB	2 GB	502.3 MB	65289	4874	102663	88331	57147392	109514752	63275008	117751808	2137918616	526696133
13	ed/2d9f37	5996	formatChr (4)	COMPLETED	0	2015-05-10 12:53:57.237	3m 12s	2m 55s	74.6%	239.3 MB	252.4 MB	239.6 MB	252.7 MB	1.5 GB	1.1 GB	984515	446448	191648	175423	250929152	264667136	251207680	264925184	1598525206	1141652171
6	04/a173ab	17706	formatBlast (6)	COMPLETED	0	2015-05-10 12:54:58.573	2m 21s	46.6s	95.0%	462.8 MB	567.7 MB	560.7 MB	665.8 MB	1 GB	255.3 MB	33012	1357	141060	46613	485285888	595292160	587972608	698126336	1080144214	267672991
