task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
17	14/feb4d9	7596	formatChr (8)	COMPLETED	0	2015-05-10 09:27:21.227	31.4s	28.8s	38.0%	49.3 MB	249.6 MB	51.4 MB	251.7 MB	2.1 GB	1 GB	377840	305667	31402	28825	51720192	261746688	53870592	263901184	2227338958	1081228652
5	e6/c0f6e1	7599	formatBlast (5)	COMPLETED	0	2015-05-10 09:27:21.226	36.7s	33.3s	95.7%	389.9 MB	596.1 MB	528.1 MB	735.8 MB	981.4 MB	241.4 MB	31446	139	36666	33338	408850432	625070080	553791488	771530752	1029109949	253138849
4	09/9fe4ae	7592	formatBlast (4)	COMPLETED	0	2015-05-10 09:27:21.225	36.7s	35.7s	95.3%	78.6 MB	230.3 MB	95.1 MB	246.8 MB	949.8 MB	230.9 MB	30434	3047	36738	35694	82436096	241483776	99745792	258793472	995948751	242068698
1	27/f773ed	7597	formatBlast (1)	COMPLETED	0	2015-05-10 09:27:21.224	41.8s	39s	93.8%	25.9 MB	164.6 MB	29.3 MB	168.1 MB	1000.2 MB	255 MB	32045	5159	41751	38983	27140096	172593152	30695424	176226304	1048738001	267381813
8	89/0bbfed	7594	formatBlast (8)	COMPLETED	0	2015-05-10 09:27:21.229	1m 18s	1m 15s	93.8%	62.9 MB	204.6 MB	64.8 MB	208.5 MB	2 GB	509.9 MB	66627	4878	77996	74580	65966080	214548480	67907584	218583040	2181920975	534616811
9	e8/97de9c	28314	formatBlast (9)	COMPLETED	0	2015-05-10 09:27:57.963	41.3s	41.1s	99.0%	311.2 MB	573.2 MB	459.5 MB	703.4 MB	1.1 GB	226.4 MB	34883	72	41301	41084	326324224	601067520	481771520	737591296	1141733585	237379536
10	cb/f50311	14421	formatChr (1)	COMPLETED	0	2015-05-10 09:28:02.975	41.5s	40.4s	83.5%	306.2 MB	506.5 MB	306.5 MB	506.8 MB	2.9 GB	1.7 GB	478263	489294	41468	40355	321064960	531058688	321409024	531439616	3103263635	1830731183
16	69/3134c9	12438	formatChr (7)	COMPLETED	0	2015-05-10 09:28:44.444	10.9s	8.3s	70.8%	328.6 MB	528.9 MB	329 MB	529.4 MB	976.4 MB	976.3 MB	125266	249966	10863	8276	344547328	554549248	344997888	555065344	1023791907	1023772818
2	7d/4b46d3	28043	formatBlast (2)	COMPLETED	0	2015-05-10 09:27:57.892	1m 2s	59s	99.3%	615.8 MB	757.4 MB	816.1 MB	957.6 MB	1.6 GB	411.2 MB	53628	6564	61529	58964	645754880	794161152	855756800	1004163072	1755969741	431176464
3	ab/9a5968	7601	formatBlast (3)	COMPLETED	0	2015-05-10 09:27:21.228	1m 39s	1m 37s	94.3%	97.4 MB	241 MB	105.4 MB	249 MB	2.4 GB	608.4 MB	77783	7525	98712	97029	102084608	252657664	110501888	261074944	2547480809	637953318
