task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
24	1a/9b7c19	30740	alignReads (4)	COMPLETED	0	2015-05-13 05:13:56.793	33.4s	33.4s	-	-	-	-	-	-	-	-	-	33431	33426	-	-	-	-	-	-
23	92/ef2d22	30212	alignReads (3)	COMPLETED	0	2015-05-13 05:13:48.975	46.9s	732ms	0.0%	2.2 MB	33.6 MB	2.2 MB	33.6 MB	22 KB	59 B	43	1	46890	732	2293760	35205120	2293760	35278848	22497	59
27	37/1a8794	31204	reformat (5)	COMPLETED	0	2015-05-13 05:14:09.134	36.3s	10.9s	114.8%	3.4 MB	27.8 MB	3.4 MB	27.8 MB	241.8 MB	237.8 MB	35851	30150	36274	10854	3543040	29097984	3543040	29147136	253566423	249397248
30	cd/e3364b	31300	alignReads (7)	COMPLETED	0	2015-05-13 05:14:09.341	44.6s	44.6s	-	-	-	-	-	-	-	-	-	44605	44582	-	-	-	-	-	-
26	32/ab83d7	31185	alignReads (6)	COMPLETED	0	2015-05-13 05:14:09.123	51.6s	51.6s	-	-	-	-	-	-	-	-	-	51609	51602	-	-	-	-	-	-
29	91/c531e2	31264	reformat (6)	COMPLETED	0	2015-05-13 05:14:09.324	57.2s	13.6s	113.1%	3.4 MB	27.8 MB	3.4 MB	27.8 MB	243 MB	239 MB	35863	30207	57195	13568	3543040	29097984	3543040	29147136	254815703	250597376
36	df/f1221a	443	alignReads (8)	COMPLETED	0	2015-05-13 05:14:45.409	32s	32s	-	-	-	-	-	-	-	-	-	31975	31973	-	-	-	-	-	-
33	df/0ed8ef	31964	reformat (7)	COMPLETED	0	2015-05-13 05:14:30.205	47.2s	10.5s	103.7%	3.4 MB	27.8 MB	3.4 MB	27.8 MB	212.1 MB	208.6 MB	31372	26399	47191	10545	3543040	29097984	3543040	29147136	222432727	218710016
35	8a/fa272c	32516	reformat (8)	COMPLETED	0	2015-05-13 05:14:35.866	44.1s	9.9s	102.1%	3.4 MB	27.8 MB	3.4 MB	27.8 MB	122.8 MB	120.7 MB	18271	15318	44115	9921	3543040	29097984	3543040	29147136	128802263	126603264
39	72/dba1bc	3447	ssake (7)	COMPLETED	0	2015-05-13 05:15:17.401	2h 3m 57s	2h 3m 47s	99.8%	814.9 MB	857.2 MB	818.9 MB	861.2 MB	107.7 MB	133.6 MB	24796	604023	7437202	7426624	854433792	898838528	858632192	903086080	112969896	140060167
