task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
16	7e/7a7b1c	3723	formatChr (7)	COMPLETED	0	2015-05-10 09:14:35.319	1m 14s	47s	103.0%	334.3 MB	347.3 MB	334.8 MB	347.8 MB	2.1 GB	1 GB	405042	310528	73843	47039	350494720	364179456	351072256	364724224	2249737496	1081368726
7	16/ae41b0	3729	formatBlast (7)	COMPLETED	0	2015-05-10 09:14:35.317	1m 25s	55.5s	84.5%	90.9 MB	164.7 MB	117.6 MB	187.4 MB	1.1 GB	270.1 MB	34763	2588	84729	55510	95367168	172716032	123330560	196501504	1137540596	283176001
3	2c/3dd91d	3727	formatBlast (2)	COMPLETED	0	2015-05-10 09:14:35.317	1m 32s	1m 2s	75.3%	28.5 MB	74 MB	36.1 MB	82 MB	1.1 GB	275.7 MB	34515	5318	92325	62324	29900800	77582336	37810176	85983232	1129267854	289125240
1	64/8fc48f	3731	formatBlast (1)	COMPLETED	0	2015-05-10 09:14:35.320	1m 39s	1m 16s	98.4%	526.6 MB	574.9 MB	816.7 MB	865.1 MB	1.7 GB	426.7 MB	55882	6583	99462	76419	552185856	602836992	856416256	907079680	1829590742	447448376
8	4f/2f1d61	3730	formatBlast (8)	COMPLETED	0	2015-05-10 09:14:35.319	2m 5s	1m 40s	79.0%	63.1 MB	110.1 MB	77.3 MB	124.3 MB	2.1 GB	518.3 MB	67928	4886	125390	100324	66203648	115478528	81084416	130371584	2224393368	543469490
13	7f/dcf2d1	3724	formatChr (4)	COMPLETED	0	2015-05-10 09:14:35.318	3m 3s	2m 33s	80.5%	316.8 MB	329.7 MB	316.8 MB	329.7 MB	2.2 GB	1019.7 MB	783156	382191	183209	153347	332136448	345743360	332136448	345763840	2362721972	1069194549
18	04/0f8903	6464	formatChr (9)	COMPLETED	0	2015-05-10 09:17:38.528	11.1s	7.4s	87.1%	338.2 MB	351.3 MB	338.4 MB	351.5 MB	1004.9 MB	1004.8 MB	128925	257260	11065	7350	354635776	368316416	354865152	368586752	1053663063	1053641315
14	86/ae9a90	3732	formatChr (5)	COMPLETED	0	2015-05-10 09:14:35.317	3m 44s	3m 27s	46.8%	136 MB	149.1 MB	136 MB	149.1 MB	1.4 GB	1.1 GB	980868	446077	224370	207130	142635008	156356608	142639104	156381184	1545052929	1141641157
5	2a/fe4a60	17089	formatBlast (5)	COMPLETED	0	2015-05-10 09:16:07.642	2m 12s	40.5s	92.0%	529.8 MB	643.2 MB	529.8 MB	643.2 MB	1013.8 MB	250.9 MB	32485	2781	132474	40478	555569152	674435072	555573248	674447360	1062997126	263094828
19	9f/96bd3c	11955	blast (1)	COMPLETED	0	2015-05-10 09:18:20.117	21.8s	3.3s	22.0%	164.7 MB	353.1 MB	170.7 MB	353.1 MB	33.5 KB	854 B	34	4	21784	3310	172703744	370212864	178987008	370225152	34291	854
9	6c/dd8393	12487	formatBlast (9)	COMPLETED	0	2015-05-10 09:16:40.709	2m 15s	46.5s	92.6%	341.5 MB	480.6 MB	539.4 MB	691.9 MB	1.1 GB	226.4 MB	37148	75	135442	46486	358080512	503971840	565563392	725467136	1215794330	237384275
4	ff/462920	9667	formatBlast (3)	COMPLETED	0	2015-05-10 09:17:49.594	1m 19s	1m 1s	69.1%	110.4 MB	162.2 MB	110.4 MB	162.2 MB	1.1 GB	269.5 MB	34739	3092	79180	61067	115728384	170110976	115732480	170123264	1136777070	282543726
15	1d/7da656	3728	formatChr (6)	COMPLETED	0	2015-05-10 09:14:35.315	4m 38s	4m 13s	94.6%	310 MB	323 MB	310.9 MB	323.9 MB	2.5 GB	1.1 GB	1152061	470096	277957	252950	325025792	338665472	325976064	339681280	2638405193	1144598829
11	46/16bfc4	2925	formatChr (2)	COMPLETED	0	2015-05-10 09:16:00.046	3m 22s	1m 12s	87.3%	574.9 MB	588 MB	575 MB	588.1 MB	3.5 GB	1.7 GB	529159	495009	201600	71819	602824704	616529920	602939392	616681472	3752859554	1830901117
6	4e/06170d	11171	formatBlast (6)	COMPLETED	0	2015-05-10 09:18:19.688	1m 17s	42.6s	91.8%	402.8 MB	508.1 MB	560.4 MB	665.8 MB	1012.3 MB	250.5 MB	32440	227	76856	42616	422395904	532766720	587608064	698126336	1061522572	262632292
20	0d/69a4e6	28219	blast (2)	COMPLETED	0	2015-05-10 09:18:41.901	59.7s	2.9s	21.0%	133.9 MB	352.1 MB	136.3 MB	352.1 MB	33.5 KB	854 B	34	4	59716	2866	140398592	369221632	142893056	369233920	34291	854
21	3e/70ebd9	15577	blast (3)	COMPLETED	0	2015-05-10 09:18:56.152	46.9s	3.9s	22.0%	134.2 MB	515.2 MB	137.4 MB	515.3 MB	33.5 KB	854 B	34	4	46921	3921	140693504	540270592	144023552	540282880	34291	854
2	97/7e8d12	29336	formatBlast (4)	COMPLETED	0	2015-05-10 09:16:14.782	3m 29s	2m 3s	88.5%	85.6 MB	136.5 MB	101.6 MB	152.5 MB	2.4 GB	607 MB	77516	7442	208548	123315	89788416	143175680	106549248	159948800	2538572978	636476476
24	75/b22722	22477	blast (6)	COMPLETED	0	2015-05-10 09:19:21.646	22.7s	3.2s	21.0%	147.8 MB	380.6 MB	156.1 MB	380.6 MB	33.5 KB	854 B	34	4	22654	3184	154984448	399114240	163647488	399126528	34291	854
25	67/79d4a0	18604	blast (7)	COMPLETED	0	2015-05-10 09:19:36.545	8.5s	3.1s	25.0%	170.3 MB	352.4 MB	172.8 MB	352.4 MB	33.5 KB	854 B	34	4	8468	3124	178556928	369553408	181145600	369565696	34291	854
23	c4/eab175	7407	blast (5)	COMPLETED	0	2015-05-10 09:19:13.273	35.9s	6s	83.8%	155.2 MB	445 MB	455.9 MB	580.9 MB	192.9 KB	545.7 KB	56	127	35882	6039	162787328	466632704	478056448	609083392	197545	558794
22	80/e5daad	3039	blast (4)	COMPLETED	0	2015-05-10 09:19:08.774	40.9s	7.3s	71.7%	469.3 MB	742.2 MB	545.6 MB	742.2 MB	191.9 KB	854 B	55	4	40885	7318	492068864	778264576	572125184	778276864	196521	854
27	a4/27fbb5	497	blast (8)	COMPLETED	0	2015-05-10 09:19:43.074	15.2s	8.5s	29.0%	14.7 MB	62.8 MB	16.6 MB	62.8 MB	200.1 KB	345.7 KB	72	106	15171	8450	15417344	65851392	17367040	65863680	204938	354009
29	f1/7abe77	2857	blast (9)	COMPLETED	0	2015-05-10 09:19:44.301	14.1s	7.8s	87.0%	469.2 MB	789.5 MB	650.6 MB	826.2 MB	191.9 KB	854 B	55	4	14065	7832	491945984	827863040	682168320	866291712	196521	854
28	7a/714539	877	exonerate (2)	COMPLETED	0	2015-05-10 09:19:43.334	15.4s	11.9s	72.1%	695.4 MB	752.9 MB	695.4 MB	752.9 MB	353.9 MB	499.9 KB	90878	146	15393	11862	729206784	789434368	729206784	789463040	371096867	511923
17	9b/7be24b	14433	formatChr (8)	COMPLETED	0	2015-05-10 09:15:49.172	4m 11s	2m 42s	45.3%	508.5 MB	521.5 MB	508.5 MB	521.6 MB	3.6 GB	2.1 GB	1085656	700911	251296	161830	533241856	546869248	533241856	546893824	3905277571	2244763823
26	ae/4559cb	30189	exonerate (1)	COMPLETED	0	2015-05-10 09:19:41.618	39.3s	38s	65.0%	150.5 MB	205.4 MB	150.5 MB	205.4 MB	537.6 MB	6.4 MB	140884	1895	39345	38012	157843456	215371776	157855744	215384064	563756182	6732704
37	3e/fc5eb0	-	normExonerate (1)	COMPLETED	-	2015-05-10 09:20:20.968	6ms	1ms	-	-	-	-	-	-	-	-	-	6	1	-	-	-	-	-	-
31	b5/6c3556	15465	exonerate (4)	COMPLETED	0	2015-05-10 09:19:49.156	34.5s	31.8s	91.1%	115.9 MB	168.4 MB	120.4 MB	173 MB	365.8 MB	5.3 MB	96455	1578	34491	31810	121540608	176627712	126251008	181383168	383525558	5566528
39	82/4f59ca	-	normExonerate (2)	COMPLETED	-	2015-05-10 09:20:23.648	8ms	2ms	-	-	-	-	-	-	-	-	-	8	2	-	-	-	-	-	-
40	7d/b80d97	-	normExonerate (3)	COMPLETED	-	2015-05-10 09:20:23.665	4ms	0ms	-	-	-	-	-	-	-	-	-	4	0	-	-	-	-	-	-
38	c9/4cb103	20654	exonerate (10)	COMPLETED	0	2015-05-10 09:20:20.976	4.5s	3.3s	16.0%	35.5 MB	69 MB	35.5 MB	69 MB	9.1 MB	83.1 KB	2415	28	4528	3265	37232640	72359936	37232640	72372224	9559769	85067
41	4b/c1dfc3	-	normExonerate (4)	COMPLETED	-	2015-05-10 09:20:25.516	2ms	0ms	-	-	-	-	-	-	-	-	-	2	0	-	-	-	-	-	-
