name,realtime_docker,realtime_native
formatBlast,50479,40538
formatBlast,48312,41332
formatBlast,53394,40285
formatChr,580851,40355
formatChr,592472,39234
formatChr,603830,435072
formatChr,509386,428601
formatChr,599578,429463
formatChr,531194,430242
formatChr,540162,442959
formatChr,91253,38333
formatChr,486772,437188
formatChr,571647,425276
formatChr,71819,107639
formatChr,65705,424622
formatChr,62332,39872
formatChr,594885,38014
formatChr,57390,34090
formatChr,613029,37902
formatChr,97272,463484
formatChr,559763,445240
formatChr,76253,33814
formatChr,55126,34711
formatChr,601112,424280
formatChr,615122,454028
formatChr,637614,460242
formatChr,164230,461165
formatChr,535859,464189
formatChr,51278,97060
formatChr,605944,33132
formatChr,538134,475605
formatChr,520116,464242
formatChr,510936,455975
formatChr,153347,450641
formatChr,190368,110481
formatChr,169607,102948
formatChr,59059,102136
formatChr,182023,101904
formatChr,167954,472084
formatChr,177273,103879
formatChr,204731,111721
formatChr,157405,110676
formatChr,175423,102084
formatChr,207130,73440
formatChr,128685,72339
formatChr,136090,74749
formatChr,122543,71091
formatChr,131903,72471
formatChr,107983,71802
formatChr,102636,81888
formatChr,151411,79382
formatChr,108989,71527
formatChr,50650,76901
formatChr,252950,122600
formatChr,50736,28690
formatChr,48879,29004
formatChr,84502,27738
formatChr,45282,29137
formatChr,66230,32592
formatChr,209986,35793
formatChr,45157,33501
formatChr,36282,28809
formatChr,140352,33230
formatChr,47039,8276
formatChr,7438,125925
formatChr,9960,6885
formatChr,190821,113963
formatChr,219573,105583
formatChr,218513,116940
formatChr,206070,122426
formatChr,7379,128634
formatChr,7089,128113
formatChr,207997,118510
formatChr,161830,28825
formatChr,230725,8301
formatChr,215170,118648
formatChr,7649,96244
formatChr,183833,126016
formatChr,187343,95647
formatChr,91735,108827
formatChr,217279,107548
formatChr,211183,108594
formatChr,8752,100294
formatChr,7350,102841
formatChr,184107,108796
formatChr,191986,100788
formatChr,212761,6934
formatChr,7340,6747
formatChr,7586,7703
formatChr,7143,7756
formatChr,131254,7048
formatChr,212029,7605
formatChr,173586,7759
similarity,653,630
similarity,894,178
similarity,875,227
similarity,709,203
similarity,842,345
similarity,419,144
similarity,270,279
similarity,615,230
similarity,338,137
similarity,596,201
similarity,177,663
similarity,532,778
similarity,1045,773
similarity,613,788
similarity,545,215
similarity,301,177
similarity,859,192
similarity,561,202
similarity,860,256
similarity,466,171
similarity,544,635
similarity,571,166
similarity,178,184
similarity,415,1594
similarity,603,260
similarity,202,201
similarity,599,149
similarity,565,860
similarity,573,287
similarity,1051,203
similarity,562,392
similarity,699,312
similarity,618,288
similarity,344,224
similarity,548,308
similarity,1055,248
similarity,256,221
similarity,616,254
similarity,353,275
similarity,716,270
similarity,343,284
similarity,1080,222
similarity,981,219
similarity,239,244
similarity,463,250
similarity,973,194
similarity,215,198
similarity,883,184
similarity,1205,241
similarity,432,224
similarity,411,490
similarity,547,153
similarity,632,201
similarity,475,164
similarity,325,287
similarity,689,150
similarity,557,308
similarity,613,290
similarity,898,139
similarity,288,159
similarity,559,169
similarity,1530,249
similarity,644,175
similarity,661,315
similarity,197,389
similarity,732,337
similarity,296,375
similarity,768,136
similarity,863,199
similarity,366,447
similarity,722,1289
similarity,697,178
similarity,1027,162
similarity,1137,373
similarity,718,140
similarity,681,216
similarity,862,147
similarity,489,359
similarity,542,364
similarity,660,190
similarity,535,345
similarity,1536,178
similarity,640,1226
similarity,1457,159
similarity,464,161
similarity,580,205
similarity,158,241
similarity,274,204
similarity,958,167
similarity,505,205
similarity,1068,334
similarity,199,367
similarity,669,543
similarity,653,193
similarity,675,194
similarity,496,374
similarity,1032,164
similarity,517,199
similarity,474,225
similarity,868,545
similarity,575,330
similarity,418,198
similarity,981,183
similarity,376,533
similarity,784,532
similarity,583,523
similarity,513,229
similarity,689,550
similarity,476,566
similarity,343,216
similarity,525,662
similarity,159,222
similarity,173,158
similarity,337,147
similarity,618,163
similarity,285,332
similarity,565,186
similarity,609,162
similarity,337,351
similarity,269,165
similarity,593,865
similarity,581,565
similarity,868,398
similarity,305,182
similarity,668,221
similarity,333,205
similarity,1650,529
similarity,715,215
similarity,606,171
similarity,283,234
similarity,1875,458
similarity,1293,1209
similarity,1442,208
similarity,211,1230
similarity,1674,1208
similarity,1747,1308
similarity,563,1267
similarity,1741,1249
similarity,1781,1231
similarity,1447,1279
similarity,217,260
similarity,303,193
similarity,680,226
similarity,659,197
similarity,1018,185
similarity,608,232
similarity,494,234
similarity,581,211
similarity,408,223
similarity,226,200
similarity,1000,868
similarity,1160,790
similarity,916,867
similarity,1115,830
similarity,1196,840
similarity,1447,813
similarity,1051,789
similarity,1177,784
similarity,1358,821
similarity,1300,780
similarity,7356,7140
similarity,7928,7095
similarity,7215,7063
similarity,7685,7127
similarity,7337,7165
similarity,7225,7183
similarity,7333,7066
similarity,7460,7067
similarity,7470,7151
similarity,7433,7157
similarity,610,209
similarity,490,191
similarity,747,177
similarity,272,161
similarity,537,184
similarity,505,173
similarity,722,199
similarity,616,176
similarity,402,183
similarity,497,170
similarity,857,243
similarity,538,134
similarity,505,137
similarity,144,190
similarity,640,152
similarity,242,144
similarity,316,136
similarity,1029,130
similarity,231,151
similarity,596,129
similarity,861,517
similarity,658,249
similarity,604,247
similarity,737,236
similarity,565,235
similarity,534,245
similarity,723,226
similarity,620,233
similarity,453,265
similarity,586,221
similarity,1386,1241
similarity,1754,1165
similarity,1669,1171
similarity,1233,1167
similarity,1634,1167
similarity,1331,1189
similarity,1276,1198
similarity,1503,1161
similarity,1471,1194
similarity,1334,1187
similarity,1916,1833
similarity,2212,1749
similarity,1872,1766
similarity,2060,1780
similarity,2064,1800
similarity,1951,1792
similarity,1858,1804
similarity,1851,1751
similarity,1977,1816
similarity,2212,394
similarity,575,799
similarity,670,458
similarity,775,404
similarity,717,377
similarity,664,5032
similarity,636,5026
similarity,612,449
similarity,946,449
similarity,616,470
similarity,222,413
similarity,411,472
similarity,954,388
similarity,515,407
similarity,816,470
similarity,791,405
similarity,812,408
similarity,417,393
similarity,530,393
similarity,422,403
similarity,757,1742
similarity,1223,1081
similarity,1507,960
similarity,1529,990
similarity,1715,1018
similarity,1650,993
similarity,1247,980
similarity,1332,982
similarity,1460,946
similarity,1991,998
similarity,1137,964
similarity,710,276
similarity,1044,247
similarity,763,224
similarity,370,227
similarity,277,228
similarity,1181,221
similarity,463,223
similarity,382,253
similarity,778,225
similarity,281,255
similarity,697,716
similarity,1003,683
similarity,1136,663
similarity,1122,718
similarity,892,668
similarity,1142,682
similarity,1308,669
similarity,789,726
similarity,1040,666
similarity,875,683
similarity,623,186
similarity,209,172
similarity,213,195
similarity,656,188
similarity,212,192
similarity,704,189
similarity,367,182
similarity,620,190
similarity,256,171
