task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
6	03/319ac3	9876	fastqToSsake (6)	COMPLETED	0	2015-05-12 18:16:00.537	21.6s	19.4s	97.3%	1.3 GB	27.3 GB	1.3 GB	27.4 GB	228.4 MB	13.2 MB	26392	27318	21618	19358	1380614144	29347868672	1380909056	29413949440	239516879	13889159
8	2d/e1799a	9874	fastqToSsake (8)	COMPLETED	0	2015-05-12 18:16:00.539	21.7s	19.2s	104.0%	1.4 GB	27.3 GB	1.4 GB	27.4 GB	250.1 MB	13.7 MB	29164	28351	21694	19211	1535823872	29347868672	1535823872	29413949440	262222235	14407408
7	be/ca6600	9882	fastqToSsake (7)	COMPLETED	0	2015-05-12 18:16:00.535	21.7s	19.3s	98.5%	1.4 GB	27.3 GB	1.4 GB	27.4 GB	252.7 MB	13.9 MB	29502	28593	21720	19310	1545719808	29347868672	1545719808	29413949440	264990987	14531900
4	da/54faca	9877	fastqToSsake (4)	COMPLETED	0	2015-05-12 18:16:00.542	21.7s	20s	91.3%	1.3 GB	27.3 GB	1.3 GB	27.4 GB	229.4 MB	13.4 MB	26513	27645	21745	19964	1381019648	29347868672	1381019648	29413949440	240510335	14045769
1	63/0fcbd3	9878	fastqToSsake (1)	COMPLETED	0	2015-05-12 18:16:00.538	21.8s	19.1s	98.0%	1.3 GB	27.3 GB	1.3 GB	27.4 GB	223 MB	13.6 MB	25692	27974	21760	19100	1384243200	29347868672	1385345024	29413961728	233780209	14214923
5	85/41c711	9875	fastqToSsake (5)	COMPLETED	0	2015-05-12 18:16:00.540	21.8s	20.8s	101.0%	1.5 GB	27.3 GB	1.5 GB	27.3 GB	261.5 MB	13.6 MB	30631	27958	21761	20758	1566236672	29347868672	1567883264	29351030784	274240653	14212113
3	98/9123f1	9880	fastqToSsake (3)	COMPLETED	0	2015-05-12 18:16:00.536	26.9s	24.7s	104.0%	1.5 GB	27.3 GB	1.5 GB	27.3 GB	280.5 MB	19.6 MB	33064	40424	26916	24733	1621504000	29347868672	1621504000	29351030784	294170623	20530977
10	d9/12fc2a	9881	interleave (1)	COMPLETED	0	2015-05-12 18:16:00.541	32s	28.9s	98.5%	1.1 GB	27.5 GB	1.1 GB	27.5 GB	222 MB	48 MB	25665	99217	32047	28887	1177149440	29484191744	1177149440	29484191744	232732465	50301648
9	7f/0704ba	9879	interleave (2)	COMPLETED	0	2015-05-12 18:16:00.538	32.2s	28.3s	102.0%	1.1 GB	27.5 GB	1.1 GB	27.5 GB	218.1 MB	47.6 MB	25168	98356	32150	28319	1221083136	29484191744	1221083136	29551300608	228661654	49870070
13	01/bbfc3f	9873	interleave (5)	COMPLETED	0	2015-05-12 18:16:00.539	32.2s	30.6s	103.0%	1.1 GB	27.5 GB	1.1 GB	27.5 GB	245.9 MB	51.1 MB	28839	105575	32152	30574	1221890048	29484191744	1221890048	29484191744	257808360	53529971
