task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
7	08/d83e39	24648	formatBlast (7)	COMPLETED	0	2015-05-10 11:55:02.431	36.5s	34.4s	96.4%	90.5 MB	252.9 MB	117.5 MB	280 MB	1019.7 MB	251.6 MB	32671	701	36475	34420	94896128	265232384	123244544	293580800	1069250739	263837023
12	66/8a274e	24650	formatChr (3)	COMPLETED	0	2015-05-10 11:55:02.425	36.6s	33.1s	86.4%	391.4 MB	591.7 MB	393.2 MB	593.5 MB	3 GB	1.7 GB	493892	491757	36625	33132	410435584	620429312	412266496	622309376	3177120713	1830803673
5	97/8f5939	24651	formatBlast (5)	COMPLETED	0	2015-05-10 11:55:02.430	36.7s	32s	96.5%	389.2 MB	596.1 MB	527.4 MB	735.8 MB	1010.5 MB	249.8 MB	32376	2634	36670	31978	408129536	625070080	553070592	771530752	1059584189	261893422
4	13/bc3f63	24653	formatBlast (4)	COMPLETED	0	2015-05-10 11:55:02.427	36.7s	34.2s	95.4%	96 MB	247.2 MB	96 MB	247.2 MB	998.5 MB	243.5 MB	31993	3050	36690	34239	100655104	259162112	100655104	259162112	1047034063	255380354
6	55/36b9fe	24654	formatBlast (6)	COMPLETED	0	2015-05-10 11:55:02.430	36.7s	35.1s	97.2%	559.4 MB	758.3 MB	559.4 MB	758.3 MB	974.6 MB	229.7 MB	31227	69	36724	35149	586563584	795107328	586567680	795107328	1021933763	240821749
2	f8/251a2e	24647	formatBlast (3)	COMPLETED	0	2015-05-10 11:55:02.426	41.8s	37.3s	96.5%	32.2 MB	173.5 MB	36.9 MB	178.2 MB	1 GB	268.4 MB	33907	5187	41844	37310	33779712	181968896	38703104	186892288	1109752017	281441133
15	d6/be318f	3291	formatChr (6)	COMPLETED	0	2015-05-10 11:55:38.915	36.7s	35.8s	49.0%	34.3 MB	234.6 MB	36.1 MB	236.4 MB	2.1 GB	1 GB	370492	304350	36744	35793	35999744	246009856	37867520	247910400	2223681123	1081191221
8	f6/dd0515	24656	formatBlast (8)	COMPLETED	0	2015-05-10 11:55:02.428	1m 13s	1m 12s	97.0%	56 MB	198.6 MB	65 MB	207.5 MB	2 GB	499.8 MB	65013	4870	73331	72025	58748928	208224256	68112384	217587712	2129033423	524118552
9	5e/d412e2	3954	formatBlast (9)	COMPLETED	0	2015-05-10 11:55:39.155	45.4s	45.3s	87.7%	347.3 MB	574 MB	552.4 MB	797.7 MB	1.1 GB	286.4 MB	37205	85	45394	45302	364175360	601931776	579203072	836435968	1217820881	300301322
18	15/bb07fb	9995	formatChr (9)	COMPLETED	0	2015-05-10 11:56:15.759	11.9s	7.8s	82.2%	382.8 MB	583.1 MB	383.2 MB	583.5 MB	1.1 GB	1.1 GB	146072	291487	11857	7756	401408000	611414016	401825792	611799040	1193860148	1193841309
